lead_id,full_name,email,phone,source_id,campaign_id,funnel_stage_id,property_id,agent_id,created_at,converted
1,Ibrahim Shalaby,ibrahim.shalaby0@clients.com,+201136326142,1,24,5,10208,764,2024-03-29,True
2,Mariam Ali,mariam.ali1@clients.com,+201226365901,4,29,4,7556,557,2023-05-25,False
3,Khaled Rizk,khaled.rizk2@clients.com,+201549339580,2,37,4,10097,771,2023-11-25,False
4,Hana Abbas,hana.abbas3@clients.com,+201210096413,1,27,1,569,122,2024-09-20,False
5,Khaled Emara,khaled.emara4@clients.com,+201151523151,1,45,5,11601,38,2023-01-01,False
6,Mahmoud Shalaby,mahmoud.shalaby5@clients.com,+201559450925,2,13,5,7835,367,2023-08-02,False
7,Khaled Emara,khaled.emara6@clients.com,+201550508927,2,34,5,4982,97,2023-11-30,True
8,Sara Emara,sara.emara7@clients.com,+201214406428,2,29,1,2737,307,2024-05-21,False
9,Ali Ghoneim,ali.ghoneim8@clients.com,+201572975303,2,1,4,13753,757,2023-01-10,False
10,Mona Shalaby,mona.shalaby9@clients.com,+201228070232,3,50,5,7289,558,2024-05-10,False
11,Mona Hassan,mona.hassan10@clients.com,+201581617634,2,16,5,14298,145,2024-09-21,False
12,Laila Fahmy,laila.fahmy11@clients.com,+201035256533,3,43,5,13668,379,2024-03-21,True
13,Aya Fahmy,aya.fahmy12@clients.com,+201027212617,3,47,5,12354,726,2023-10-02,True
14,Mona Ibrahim,mona.ibrahim13@clients.com,+201525425956,3,16,5,11321,630,2023-06-01,False
15,Mohamed Badawy,mohamed.badawy14@clients.com,+201292518715,2,36,5,4037,446,2023-09-15,False
16,Youssef Badawy,youssef.badawy15@clients.com,+201097776112,3,22,1,6583,260,2024-03-24,False
17,Ahmed Kamel,ahmed.kamel16@clients.com,+201197278962,1,7,1,11484,465,2024-11-10,False
18,Sara Soliman,sara.soliman17@clients.com,+201064201703,3,50,6,8057,255,2024-08-03,False
19,Mahmoud Badawy,mahmoud.badawy18@clients.com,+201137441123,3,7,6,14781,32,2023-06-14,False
20,Aya Abbas,aya.abbas19@clients.com,+201083643231,4,29,5,6139,616,2024-01-02,True
21,Khaled Fouad,khaled.fouad20@clients.com,+201517445115,2,31,1,8386,119,2024-04-24,False
22,Hoda Ibrahim,hoda.ibrahim21@clients.com,+201581994078,3,31,3,2951,262,2024-10-15,False
23,Mona Khaled,mona.khaled22@clients.com,+201232083400,1,5,5,5532,735,2023-09-08,True
24,Khaled Emara,khaled.emara23@clients.com,+201250345186,3,39,5,11070,554,2024-09-24,True
25,Laila Said,laila.said24@clients.com,+201229836129,4,12,5,10557,713,2024-11-04,True
26,Fatima Ali,fatima.ali25@clients.com,+201225070075,1,42,5,5485,518,2023-01-24,False
27,Mahmoud Amer,mahmoud.amer26@clients.com,+201179093439,1,5,4,12121,781,2023-08-10,False
28,Hoda Mansour,hoda.mansour27@clients.com,+201237926489,3,20,4,3898,109,2024-12-07,False
29,Mona Taha,mona.taha28@clients.com,+201093571287,2,37,5,10807,207,2023-05-10,True
30,Mona Mansour,mona.mansour29@clients.com,+201210105043,2,33,3,6654,214,2024-09-05,False
31,Khaled Fahmy,khaled.fahmy30@clients.com,+201125932731,3,48,5,1636,297,2024-07-28,True
32,Ibrahim Hassan,ibrahim.hassan31@clients.com,+201050929012,1,44,6,12648,180,2023-05-25,False
33,Dina Mansour,dina.mansour32@clients.com,+201194766076,3,30,5,5403,501,2024-06-30,True
34,Aya Taha,aya.taha33@clients.com,+201591212685,2,33,3,2752,444,2023-07-02,False
35,Ali Amer,ali.amer34@clients.com,+201147423463,1,29,6,9551,62,2024-11-03,False
36,Hana Ibrahim,hana.ibrahim35@clients.com,+201596102090,2,39,6,982,98,2024-05-24,False
37,Sara Kamel,sara.kamel36@clients.com,+201014079078,4,41,5,4939,211,2024-03-01,True
38,Sara Fahmy,sara.fahmy37@clients.com,+201139839263,3,42,5,8830,156,2024-01-14,True
39,Youssef Ali,youssef.ali38@clients.com,+201573150087,1,14,4,7721,720,2023-08-21,False
40,Fatima Ibrahim,fatima.ibrahim39@clients.com,+201126637159,4,10,6,2244,176,2024-05-09,False
41,Mona Nassar,mona.nassar40@clients.com,+201547690287,2,15,5,3018,431,2024-10-04,True
42,Laila Ali,laila.ali41@clients.com,+201276487681,2,31,1,10193,253,2023-02-03,False
43,Khaled Soliman,khaled.soliman42@clients.com,+201279062616,4,17,1,12418,212,2024-11-18,False
44,Omar Ibrahim,omar.ibrahim43@clients.com,+201179070241,4,28,6,10195,244,2023-08-14,False
45,Youssef El-Masry,youssef.el-masry44@clients.com,+201296235595,4,26,3,679,467,2024-07-22,False
46,Laila Shalaby,laila.shalaby45@clients.com,+201262685825,4,37,5,13045,393,2024-05-19,True
47,Aya Nassar,aya.nassar46@clients.com,+201032765304,4,4,4,13456,521,2023-11-04,False
48,Nour Taha,nour.taha47@clients.com,+201525661562,4,29,5,5463,23,2024-06-25,True
49,Sara Kamel,sara.kamel48@clients.com,+201051415949,2,48,4,6995,800,2024-12-24,False
50,Ahmed Mansour,ahmed.mansour49@clients.com,+201020938825,3,21,5,9428,266,2024-03-24,True
51,Tarek Abbas,tarek.abbas50@clients.com,+201279234868,1,39,6,14022,326,2024-02-25,False
52,Mona Abbas,mona.abbas51@clients.com,+201590793046,3,17,6,12997,125,2023-02-27,False
53,Laila Abbas,laila.abbas52@clients.com,+201013263658,3,2,5,5959,308,2024-12-12,True
54,Nour Hassan,nour.hassan53@clients.com,+201043874546,4,33,5,8625,798,2024-11-16,False
55,Mona Ibrahim,mona.ibrahim54@clients.com,+201131077325,2,2,6,5208,268,2023-02-19,False
56,Ibrahim Hassan,ibrahim.hassan55@clients.com,+201194382233,4,10,5,12981,714,2024-09-22,True
57,Aya Ali,aya.ali56@clients.com,+201296069043,2,25,5,1417,70,2023-04-20,True
58,Ibrahim Kamel,ibrahim.kamel57@clients.com,+201294839770,3,6,4,14789,711,2024-03-30,False
59,Ahmed Nassar,ahmed.nassar58@clients.com,+201134756590,3,8,2,7065,413,2024-07-07,False
60,Omar Amer,omar.amer59@clients.com,+201097674127,2,13,3,1506,752,2023-07-06,False
61,Khaled Fahmy,khaled.fahmy60@clients.com,+201552330735,4,9,3,3608,697,2024-09-27,False
62,Mohamed Said,mohamed.said61@clients.com,+201031838474,2,50,4,12400,354,2023-01-03,False
63,Aya Said,aya.said62@clients.com,+201025685317,2,6,5,13606,542,2024-12-13,True
64,Khaled Emara,khaled.emara63@clients.com,+201545143820,4,20,6,6781,348,2024-12-15,False
65,Dina Mansour,dina.mansour64@clients.com,+201213712685,3,11,5,9011,634,2023-07-30,True
66,Dina Ali,dina.ali65@clients.com,+201086293841,3,43,1,14313,648,2023-10-26,False
67,Ali Soliman,ali.soliman66@clients.com,+201071632797,3,13,5,14516,86,2024-08-08,True
68,Ahmed Khaled,ahmed.khaled67@clients.com,+201176531027,3,34,1,5955,129,2023-04-22,False
69,Hana Mansour,hana.mansour68@clients.com,+201042838800,1,48,1,4203,313,2024-12-29,False
70,Fatima El-Masry,fatima.el-masry69@clients.com,+201224296280,4,33,6,14545,169,2024-03-16,False
71,Sara Abbas,sara.abbas70@clients.com,+201217302910,1,14,5,6629,564,2023-12-10,True
72,Omar Fouad,omar.fouad71@clients.com,+201577756130,3,30,4,12701,744,2024-12-04,False
73,Ibrahim Hassan,ibrahim.hassan72@clients.com,+201057870634,2,12,4,6236,79,2024-10-26,False
74,Ibrahim Taha,ibrahim.taha73@clients.com,+201051556500,1,33,6,6774,583,2024-08-17,False
75,Mohamed Ghoneim,mohamed.ghoneim74@clients.com,+201138547370,1,16,3,9927,603,2023-05-30,False
76,Ali Abbas,ali.abbas75@clients.com,+201115608318,3,45,3,4277,168,2024-04-10,False
77,Youssef Nassar,youssef.nassar76@clients.com,+201548944991,2,33,4,2433,788,2024-03-25,False
78,Mohamed El-Masry,mohamed.el-masry77@clients.com,+201089740234,4,4,5,6410,429,2024-03-27,True
79,Mahmoud Mansour,mahmoud.mansour78@clients.com,+201232004100,1,5,5,10852,522,2024-06-13,False
80,Omar Soliman,omar.soliman79@clients.com,+201257220035,2,30,5,4745,563,2023-05-17,True
81,Khaled Amer,khaled.amer80@clients.com,+201283996401,4,6,5,5347,154,2024-02-11,False
82,Fatima Ghoneim,fatima.ghoneim81@clients.com,+201024655823,4,21,5,4049,87,2024-09-30,True
83,Hassan Fouad,hassan.fouad82@clients.com,+201160780644,3,44,5,6357,533,2023-01-03,False
84,Mona Nassar,mona.nassar83@clients.com,+201177541036,1,3,1,11825,5,2023-02-06,False
85,Mariam Kamel,mariam.kamel84@clients.com,+201063882184,4,5,4,7336,572,2023-10-21,False
86,Dina Kamel,dina.kamel85@clients.com,+201076149297,3,25,4,9419,688,2023-09-22,False
87,Ahmed Fahmy,ahmed.fahmy86@clients.com,+201599196813,2,42,3,13664,216,2023-02-11,False
88,Mohamed Ali,mohamed.ali87@clients.com,+201015405890,2,11,5,6240,65,2023-03-18,True
89,Ali Khaled,ali.khaled88@clients.com,+201041770411,2,36,5,5863,599,2023-08-22,True
90,Hoda Ali,hoda.ali89@clients.com,+201251360579,1,41,6,4769,409,2024-06-09,False
91,Youssef Ibrahim,youssef.ibrahim90@clients.com,+201061748795,4,34,5,8498,34,2024-05-26,True
92,Aya Ibrahim,aya.ibrahim91@clients.com,+201044058879,4,29,2,670,51,2024-02-09,False
93,Ahmed Badawy,ahmed.badawy92@clients.com,+201034129915,4,18,5,6157,349,2023-10-30,True
94,Mariam Fahmy,mariam.fahmy93@clients.com,+201094167967,1,44,3,7250,68,2024-06-20,False
95,Sara Ghoneim,sara.ghoneim94@clients.com,+201197205738,3,41,6,13985,60,2023-02-07,False
96,Dina Nassar,dina.nassar95@clients.com,+201076256246,2,23,3,7951,309,2023-04-27,False
97,Ibrahim Nassar,ibrahim.nassar96@clients.com,+201568476223,1,27,5,8634,589,2023-01-29,True
98,Mahmoud Hassan,mahmoud.hassan97@clients.com,+201132455715,1,30,5,9405,485,2024-11-17,False
99,Hoda El-Masry,hoda.el-masry98@clients.com,+201536676277,3,14,5,1625,499,2023-02-14,True
